"filename", "language", "C++", "CMake", "YAML", "Dart", "Markdown", "Swift", "JSON", "XML", "Gradle", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\aliba\Desktop\saranel\saranel_application\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\aliba\Desktop\saranel\saranel_application\windows\flutter\generated_plugins.cmake", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\aliba\Desktop\saranel\saranel_application\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\aliba\Desktop\saranel\saranel_application\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\aliba\Desktop\saranel\saranel_application\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\aliba\Desktop\saranel\saranel_application\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\aliba\Desktop\saranel\saranel_application\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\aliba\Desktop\saranel\saranel_application\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\aliba\Desktop\saranel\saranel_application\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\aliba\Desktop\saranel\saranel_application\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 548, 41, 36, 5130, 13, 68, 301, 470, 92, 38, 8, 586, 607, 7938
